10,AP ARQ. LOPEZ OTERO,78922,2018-01-01 11:00,9,0,0,9,9,3.1A,618.58
6,AP ARQ. LOPEZ OTERO,78922,2018-01-01 07:00,8,0,0,8,8,3.1A,618.58
25,AP ARQ. LOPEZ OTERO,78922,2018-01-02 02:00,9,0,0,9,9,3.1A,618.58
33,AP ARQ. LOPEZ OTERO,78922,2018-01-02 10:00,3,0,0,3,3,3.1A,618.58
9,AP ARQ. LOPEZ OTERO,78922,2018-01-01 10:00,8,0,0,8,8,3.1A,618.58
18,AP ARQ. LOPEZ OTERO,78922,2018-01-01 19:00,3,0,0,3,3,3.1A,618.58
2,AP ARQ. LOPEZ OTERO,78922,2018-01-01 03:00,10,0,0,10,10,3.1A,618.58
5,AP ARQ. LOPEZ OTERO,78922,2018-01-01 06:00,9,0,0,9,9,3.1A,618.58
27,AP ARQ. LOPEZ OTERO,78922,2018-01-02 04:00,8,0,0,8,8,3.1A,618.58
26,AP ARQ. LOPEZ OTERO,78922,2018-01-02 03:00,8,0,0,8,8,3.1A,618.58
32,AP ARQ. LOPEZ OTERO,78922,2018-01-02 09:00,3,0,0,3,3,3.1A,618.58
29,AP ARQ. LOPEZ OTERO,78922,2018-01-02 06:00,9,0,0,9,9,3.1A,618.58
15,AP ARQ. LOPEZ OTERO,78922,2018-01-01 16:00,8,0,0,8,8,3.1A,618.58
24,AP ARQ. LOPEZ OTERO,78922,2018-01-02 01:00,9,0,0,9,9,3.1A,618.58
-1,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
35,AP ARQ. LOPEZ OTERO,78922,2018-01-02 12:00,3,0,0,3,3,3.1A,618.58
11,AP ARQ. LOPEZ OTERO,78922,2018-01-01 12:00,8,0,0,8,8,3.1A,618.58
19,AP ARQ. LOPEZ OTERO,78922,2018-01-01 20:00,3,0,0,3,3,3.1A,618.58
13,AP ARQ. LOPEZ OTERO,78922,2018-01-01 14:00,8,0,0,8,8,3.1A,618.58
21,AP ARQ. LOPEZ OTERO,78922,2018-01-01 22:00,3,0,0,3,3,3.1A,618.58
20,AP ARQ. LOPEZ OTERO,78922,2018-01-01 21:00,3,0,0,3,3,3.1A,618.58
4,AP ARQ. LOPEZ OTERO,78922,2018-01-01 05:00,9,0,0,9,9,3.1A,618.58
34,AP ARQ. LOPEZ OTERO,78922,2018-01-02 11:00,3,0,0,3,3,3.1A,618.58
22,AP ARQ. LOPEZ OTERO,78922,2018-01-01 23:00,2,0,0,2,2,3.1A,618.58
23,AP ARQ. LOPEZ OTERO,78922,2018-01-02 00:00,3,0,0,3,3,3.1A,618.58
8,AP ARQ. LOPEZ OTERO,78922,2018-01-01 09:00,8,0,0,8,8,3.1A,618.58
36,AP ARQ. LOPEZ OTERO,78922,2018-01-02 13:00,3,0,0,3,3,3.1A,618.58
31,AP ARQ. LOPEZ OTERO,78922,2018-01-02 08:00,8,0,0,8,8,3.1A,618.58
1,AP ARQ. LOPEZ OTERO,78922,2018-01-01 02:00,10,0,0,10,10,3.1A,618.58


7,AP ARQ. LOPEZ OTERO,78922,2018-01-01 08:00,8,0,0,8,8,3.1A,618.58
12,AP ARQ. LOPEZ OTERO,78922,2018-01-01 13:00,8,0,0,8,8,3.1A,618.58
30,AP ARQ. LOPEZ OTERO,78922,2018-01-02 07:00,8,0,0,8,8,3.1A,618.58
3,AP ARQ. LOPEZ OTERO,78922,2018-01-01 04:00,10,0,0,10,10,3.1A,618.58
17,AP ARQ. LOPEZ OTERO,78922,2018-01-01 18:00,8,0,0,8,8,3.1A,618.58
16,AP ARQ. LOPEZ OTERO,78922,2018-01-01 17:00,8,0,0,8,8,3.1A,618.58
28,AP ARQ. LOPEZ OTERO,78922,2018-01-02 05:00,9,0,0,9,9,3.1A,618.58
14,AP ARQ. LOPEZ OTERO,78922,2018-01-01 15:00,9,0,0,9,9,3.1A,618.58



































0,AP ARQ. LOPEZ OTERO,78922,2018-01-01 01:00,10,0,0,10,10,3.1A,618.58

