,centro,id,fecha,consumo,reactiva,co2,potenciamax,potenciaact,tarifa,coste
8759,AP ARQ. LOPEZ OTERO,78922,2019-01-01 00:00,4,0,0,4,4,3.1A,772.38
8760,AP ARQ. LOPEZ OTERO,78922,2019-01-01 01:00,11,0,0,11,11,3.1A,772.38
8761,AP ARQ. LOPEZ OTERO,78922,2019-01-01 02:00,11,0,0,11,11,3.1A,772.38
8762,AP ARQ. LOPEZ OTERO,78922,2019-01-01 03:00,11,0,0,11,11,3.1A,772.38
8763,AP ARQ. LOPEZ OTERO,78922,2019-01-01 04:00,10,0,0,10,10,3.1A,772.38
8764,AP ARQ. LOPEZ OTERO,78922,2019-01-01 05:00,11,0,0,11,11,3.1A,772.38
8765,AP ARQ. LOPEZ OTERO,78922,2019-01-01 06:00,11,0,0,11,11,3.1A,772.38
8766,AP ARQ. LOPEZ OTERO,78922,2019-01-01 07:00,10,0,0,10,10,3.1A,772.38
8767,AP ARQ. LOPEZ OTERO,78922,2019-01-01 08:00,10,0,0,10,10,3.1A,772.38
8768,AP ARQ. LOPEZ OTERO,78922,2019-01-01 09:00,10,0,0,10,10,3.1A,772.38
8769,AP ARQ. LOPEZ OTERO,78922,2019-01-01 10:00,10,0,0,10,10,3.1A,772.38
8770,AP ARQ. LOPEZ OTERO,78922,2019-01-01 11:00,11,0,0,11,11,3.1A,772.38
8771,AP ARQ. LOPEZ OTERO,78922,2019-01-01 12:00,10,0,0,10,10,3.1A,772.38
8772,AP ARQ. LOPEZ OTERO,78922,2019-01-01 13:00,9,0,0,9,9,3.1A,772.38
8773,AP ARQ. LOPEZ OTERO,78922,2019-01-01 14:00,9,0,0,9,9,3.1A,772.38
8774,AP ARQ. LOPEZ OTERO,78922,2019-01-01 15:00,9,0,0,9,9,3.1A,772.38
8775,AP ARQ. LOPEZ OTERO,78922,2019-01-01 16:00,9,0,0,9,9,3.1A,772.38
8776,AP ARQ. LOPEZ OTERO,78922,2019-01-01 17:00,9,0,0,9,9,3.1A,772.38
8777,AP ARQ. LOPEZ OTERO,78922,2019-01-01 18:00,9,0,0,9,9,3.1A,772.38
8778,AP ARQ. LOPEZ OTERO,78922,2019-01-01 19:00,5,0,0,5,5,3.1A,772.38
8779,AP ARQ. LOPEZ OTERO,78922,2019-01-01 20:00,5,0,0,5,5,3.1A,772.38
8780,AP ARQ. LOPEZ OTERO,78922,2019-01-01 21:00,5,0,0,5,5,3.1A,772.38
8781,AP ARQ. LOPEZ OTERO,78922,2019-01-01 22:00,5,0,0,5,5,3.1A,772.38
8782,AP ARQ. LOPEZ OTERO,78922,2019-01-01 23:00,5,0,0,5,5,3.1A,772.38
8783,AP ARQ. LOPEZ OTERO,78922,2019-01-02 00:00,5,0,0,5,5,3.1A,772.38
8784,AP ARQ. LOPEZ OTERO,78922,2019-01-02 01:00,10,0,0,10,10,3.1A,772.38
8785,AP ARQ. LOPEZ OTERO,78922,2019-01-02 02:00,9,0,0,9,9,3.1A,772.38
8786,AP ARQ. LOPEZ OTERO,78922,2019-01-02 03:00,10,0,0,10,10,3.1A,772.38
8787,AP ARQ. LOPEZ OTERO,78922,2019-01-02 04:00,9,0,0,9,9,3.1A,772.38
8788,AP ARQ. LOPEZ OTERO,78922,2019-01-02 05:00,10,0,0,10,10,3.1A,772.38
8789,AP ARQ. LOPEZ OTERO,78922,2019-01-02 06:00,9,0,0,9,9,3.1A,772.38
8790,AP ARQ. LOPEZ OTERO,78922,2019-01-02 07:00,9,0,0,9,9,3.1A,772.38
